ID,scenario,scheme,message_label,msg_length,BER,state,total_frames,retransmission,time(ms),efficiency_bits,efficiency_frames,throughput
283,KB2,ARQ,Default,200,0.0005,1,25,1,0.2047,0.854701,0.961538,7816.32
284,KB2,ARQ,Default,200,0.0005,1,25,2,0.2184,0.823045,0.925926,7326.01
285,KB2,ARQ,Default,200,0.0005,1,25,0,0.2076,0.888889,1,7707.13
286,KB2,ARQ,Default,200,0.0005,1,25,0,0.2097,0.888889,1,7629.95
287,KB2,ARQ,Default,200,0.0005,1,25,2,0.352,0.823045,0.925926,4545.45
288,KB2,ARQ,Default,200,0.0005,1,25,0,0.311,0.888889,1,5144.69
289,KB2,ARQ,Default,200,0.0005,1,25,0,0.255,0.888889,1,6274.51
290,KB2,ARQ,Default,200,0.0005,1,25,1,0.2069,0.854701,0.961538,7733.2
291,KB2,ARQ,Default,200,0.0005,1,25,1,0.2036,0.854701,0.961538,7858.55
292,KB2,ARQ,Default,200,0.0005,1,25,0,0.2004,0.888889,1,7984.03
293,KB2,ARQ,Default,200,0.0005,1,25,0,0.2134,0.888889,1,7497.66
294,KB2,ARQ,Default,200,0.0005,1,25,0,0.201,0.888889,1,7960.2
295,KB2,ARQ,Default,200,0.0005,1,25,0,0.2035,0.888889,1,7862.41
296,KB2,ARQ,Default,200,0.0005,1,25,1,0.2112,0.854701,0.961538,7575.76
297,KB2,ARQ,Default,200,0.0005,1,25,0,0.2024,0.888889,1,7905.14
298,KB2,ARQ,Default,200,0.0005,1,25,2,0.2127,0.823045,0.925926,7522.33
299,KB2,ARQ,Default,200,0.0005,1,25,1,0.2031,0.854701,0.961538,7877.89
300,KB2,ARQ,Default,200,0.0005,1,25,0,0.2038,0.888889,1,7850.83
