ID,scheme,BER,state,total_frames,retransmission,time(ms),efficiency,throughput
8539,ARQ,0.03,1,50,130,0.6205,0.222222,2578.57
8540,ARQ,0.03,1,50,134,0.6201,0.217391,2580.23
8541,ARQ,0.03,1,50,112,0.5608,0.246914,2853.07
8542,ARQ,0.03,1,50,109,0.5641,0.251572,2836.38
8543,ARQ,0.03,1,50,139,0.6629,0.21164,2413.64
8544,ARQ,0.03,1,50,120,0.5949,0.235294,2689.53
8545,ARQ,0.03,1,50,79,0.4738,0.310078,3376.95
8546,ARQ,0.03,0,50,122,0.5941,0.232558,2693.15
8547,ARQ,0.03,1,50,79,0.4917,0.310078,3254.02
8548,ARQ,0.03,1,50,126,0.6011,0.227273,2661.79
8549,ARQ,0.03,1,50,139,0.6369,0.21164,2512.17
8550,ARQ,0.03,1,50,122,0.611,0.232558,2618.66
8551,ARQ,0.03,1,50,95,0.5224,0.275862,3062.79
8552,ARQ,0.03,0,50,125,0.6434,0.228571,2486.79
8553,ARQ,0.03,1,50,131,0.6183,0.220994,2587.74
8554,ARQ,0.03,1,50,118,0.5792,0.238095,2762.43
8555,ARQ,0.03,1,50,101,0.5401,0.264901,2962.41
8556,ARQ,0.03,1,50,111,0.5754,0.248447,2780.67
8557,ARQ,0.03,1,50,106,0.5547,0.25641,2884.44
8558,ARQ,0.03,1,50,131,0.6133,0.220994,2608.84
8559,ARQ,0.03,1,50,100,0.5512,0.266667,2902.76
8560,ARQ,0.03,1,50,126,0.5973,0.227273,2678.72
8561,ARQ,0.03,1,50,110,0.5576,0.25,2869.44
8562,ARQ,0.03,0,50,135,0.6253,0.216216,2558.77
8563,ARQ,0.03,1,50,129,0.6094,0.223464,2625.53
8564,ARQ,0.03,1,50,140,0.6435,0.210526,2486.4
8565,ARQ,0.03,0,50,117,0.5742,0.239521,2786.49
8566,ARQ,0.03,1,50,118,0.5758,0.238095,2778.74
8567,ARQ,0.03,1,50,123,0.5963,0.231214,2683.21
8568,ARQ,0.03,1,50,94,0.5318,0.277778,3008.65
8569,ARQ,0.03,1,50,92,0.5845,0.28169,2737.38
8570,ARQ,0.03,1,50,125,0.598,0.228571,2675.59
8571,ARQ,0.03,1,50,119,0.5887,0.236686,2717.85
8572,ARQ,0.03,0,50,140,0.6384,0.210526,2506.27
8573,ARQ,0.03,1,50,143,0.6452,0.207254,2479.85
8574,ARQ,0.03,1,50,94,0.5162,0.277778,3099.57
8575,ARQ,0.03,1,50,109,0.6168,0.251572,2594.03
8576,ARQ,0.03,1,50,127,0.6079,0.225989,2632.01
8577,ARQ,0.03,0,50,121,0.5836,0.233918,2741.6
8578,ARQ,0.03,1,50,114,0.5733,0.243902,2790.86
8579,ARQ,0.03,1,50,100,0.531,0.266667,3013.18
8580,ARQ,0.03,1,50,172,0.7259,0.18018,2204.16
8581,ARQ,0.03,0,50,110,0.5511,0.25,2903.28
8582,ARQ,0.03,1,50,97,0.5294,0.272109,3022.29
8583,ARQ,0.03,0,50,143,0.6529,0.207254,2450.6
8584,ARQ,0.03,1,50,101,0.5824,0.264901,2747.25
8585,ARQ,0.03,1,50,76,0.4731,0.31746,3381.95
8586,ARQ,0.03,0,50,119,0.6138,0.236686,2606.71
8587,ARQ,0.03,1,50,107,0.5492,0.254777,2913.33
8588,ARQ,0.03,1,50,134,0.6181,0.217391,2588.58
8589,ARQ,0.03,1,50,121,0.5849,0.233918,2735.51
